CustomerID,Lookalikes
C0001,"[('C0069', 1.0), ('C0154', 1.0), ('C0181', 1.0)]"
C0002,"[('C0029', 1.0), ('C0088', 1.0), ('C0062', 1.0)]"
C0003,"[('C0178', 1.0), ('C0038', 1.0), ('C0189', 1.0)]"
C0004,"[('C0017', 1.0), ('C0156', 1.0), ('C0101', 1.0)]"
C0005,"[('C0120', 1.0), ('C0186', 1.0), ('C0192', 1.0)]"
C0006,"[('C0117', 1.0), ('C0187', 1.0), ('C0168', 1.0)]"
C0007,"[('C0115', 1.0), ('C0050', 1.0), ('C0186', 1.0)]"
C0008,"[('C0113', 0.99), ('C0124', 0.99), ('C0065', 0.99)]"
C0009,"[('C0061', 1.0), ('C0198', 0.99), ('C0129', 0.99)]"
C0010,"[('C0029', 0.99), ('C0002', 0.99), ('C0111', 0.99)]"
C0011,"[('C0064', 1.0), ('C0137', 1.0), ('C0027', 1.0)]"
C0012,"[('C0124', 1.0), ('C0163', 1.0), ('C0195', 1.0)]"
C0013,"[('C0099', 1.0), ('C0143', 1.0), ('C0145', 1.0)]"
C0014,"[('C0097', 1.0), ('C0110', 0.99), ('C0151', 0.99)]"
C0015,"[('C0123', 1.0), ('C0078', 0.99), ('C0063', 0.98)]"
C0016,"[('C0056', 0.99), ('C0107', 0.99), ('C0103', 0.99)]"
C0017,"[('C0175', 1.0), ('C0004', 1.0), ('C0156', 1.0)]"
C0018,"[('C0082', 1.0), ('C0087', 1.0), ('C0153', 1.0)]"
C0019,"[('C0094', 1.0), ('C0047', 1.0), ('C0139', 1.0)]"
C0020,"[('C0130', 1.0), ('C0140', 0.99), ('C0186', 0.99)]"
C0021,"[('C0081', 1.0), ('C0122', 1.0), ('C0173', 1.0)]"
C0022,"[('C0067', 1.0), ('C0053', 1.0), ('C0149', 1.0)]"
C0023,"[('C0193', 1.0), ('C0064', 1.0), ('C0011', 1.0)]"
C0024,"[('C0174', 1.0), ('C0139', 1.0), ('C0081', 1.0)]"
C0025,"[('C0003', 1.0), ('C0031', 1.0), ('C0038', 1.0)]"
C0026,"[('C0146', 1.0), ('C0048', 1.0), ('C0001', 1.0)]"
C0027,"[('C0137', 1.0), ('C0191', 1.0), ('C0011', 1.0)]"
C0028,"[('C0102', 1.0), ('C0188', 1.0), ('C0068', 1.0)]"
C0029,"[('C0002', 1.0), ('C0062', 1.0), ('C0088', 1.0)]"
C0030,"[('C0088', 1.0), ('C0106', 1.0), ('C0002', 1.0)]"
C0031,"[('C0166', 1.0), ('C0052', 1.0), ('C0178', 1.0)]"
C0032,"[('C0043', 0.99), ('C0071', 0.98), ('C0116', 0.97)]"
C0033,"[('C0144', 0.97), ('C0077', 0.96), ('C0083', 0.95)]"
C0034,"[('C0134', 1.0), ('C0030', 0.99), ('C0106', 0.99)]"
C0035,"[('C0199', 1.0), ('C0055', 1.0), ('C0190', 1.0)]"
C0036,"[('C0125', 1.0), ('C0073', 1.0), ('C0135', 1.0)]"
C0037,"[('C0170', 1.0), ('C0182', 1.0), ('C0152', 1.0)]"
C0038,"[('C0189', 1.0), ('C0160', 1.0), ('C0003', 1.0)]"
C0039,"[('C0105', 1.0), ('C0181', 1.0), ('C0072', 0.99)]"
C0040,"[('C0042', 0.99), ('C0016', 0.99), ('C0133', 0.99)]"
C0041,"[('C0169', 1.0), ('C0087', 1.0), ('C0046', 1.0)]"
C0042,"[('C0040', 0.99), ('C0061', 0.99), ('C0016', 0.98)]"
C0043,"[('C0071', 1.0), ('C0032', 0.99), ('C0177', 0.99)]"
C0044,"[('C0063', 1.0), ('C0074', 1.0), ('C0085', 1.0)]"
